Number of photo;Title;Dimensions;Year;Edition
01;2008;29;7x21cm;2013;6
02;Annonciation;50x61cm;2009;6
03;Tulips;50x61cm;2009;6
04;Annonciation 2, Helsinki 18.03.2009, part 1;30x36cm;2009;6
05;Annonciation 2, Helsinki 18.03.2009, part 2;30x36cm;2009;6
06;Annonciation 2, Helsinki 18.03.2009, part 3;30x36cm;2009;6
07;2009;29;7x21cm;2013;6
08;Annonciation 3;50x61cm;2010;6
09;Annonciation 4, Bruxelles 23.10.2010;30x44;5cm;2010;6
10 ;Annonciation 5, Avallon 19.12.2010;30x19cm;2010;6
11;2010;29;7x21cm;2013;6
12;Annonciation 6, Helsinki 10.02.2011;50x75cm;2011;6
13;Annonciation 7, Jour de l'Annonciation;50x61cm;2011;6
14;Annonciation 8, Avallon 12.04.2011;30x39cm;2011;6
15;Annonciation 9, She would go to Anne-Sophie's school;30x38cm;2011;6
16;Annonciation 10;30x42cm;2011;6
17;Annonciation 11;30x34cm;2011;6
18;2011;29;7x21cm;2013;6
19;Annonciation 12;30x20cm;2012;6
20;Annonciation 13;20x13cm;2012;6
21;Annonciation 14, Tu vas me laisser tomber;50x68cm;2012;6
22;Tulips;30x45cm;2012;6
23;Annonciation 15, Helsinki 06.03.2012, part 1;50x70cm;2012;6
24;Annonciation 15, part 2, Helsinki 06.03.2012;30x30cm;2012;6
25;Cerisier;50x67cm;2012;6
26;Annonciation 16, L'Adieu;30x24cm;2012;6
27;Annonciation 17, Chalon-sur-Saône 30.03.2012;30x37cm;2012;6
28;Annonciation 18;30x36cm;2012;6
29;Annonciation 19;50x61cm;2012;6
30;Annonciation 20, Closest to a family;15x17;5cm;2012;6
31;Annonciation 21, part 1;30x35cm;2012;6
32;Annonciation 21, part 2;30x34cm;2012;6
33;Annonciation 21, part 3;30x35cm;2012;6
34;Annonciation 21, part 4;20x24cm;2012;6
35;Annonciation 21, part 5;20x26cm;2012;6
36;Annonciation 22;20x15cm;2012;6
37;Annonciation 23, Lone;70x105cm;2012;6
38;Annonciation 24;50x40cm;2012;6
39;Annonciation 25, Medication;30x45cm;2012;6
40;Annonciation 26, My American Dream;30x20cm;2012;6
41;Annonciation 27;20x13cm;2012;6
42;Annonciation 28, Intravenous immunoglobulins;20x15cm;2012;6
43;Annonciation 29;20x26;5cm;2012;6
44;Annonciation 30, Last one in my line;70x86cm;2012;6
45;2012;29;7x21cm;2013;6
46;Annonciation 31, The End;70x87cm;2013;6
47;Annonciation 32, Helsinki 04.03.2013;30x20cm;2013;6
48;2013;29;7x21cm;2013;6
