Number of photo;Title;Dimensions;Year;Edition;
01;Revenue;80x63cm;1999;6;
02;Revenue, 12 ans après;80x60cm;2011;6;
03;Le Reflet;70x56cm;1999;6;
04;La Chambre 10 (le reflet);70x55cm;2012;6;
05;Le Nez de Monsieur Cheval;80x102xm;1999;6;
06;Le deuil du jeune moi qui a été;90x96cm;2011;6;
07;La Chambre 10 (la porte jaune);80x100cm;2012;6;
08;Les Chaussures;80x102cm / 50x64cm;1999;6 (2+4);
09;Bonne nuit mon amour;80x102cm;1999;6;
10;Le lit pour rêver et pour mes nuits de tendresse;80x102cm;1999;6;
11;Fleuve tranquille;50x75cm;2012;6;
12;La Main;70x56cm / 50x40cm;1999;6 (5+1);
13;Exercice d'émotions II, part 1;50x33cm;2012;6 (triptych);
14;Exercice d'émotions II, part 2;50x33cm;2012;6 (triptych);
15;Exercice d'émotions II, part 3;50x33cm;2012;6 (triptych);
16;Le Sommaire;80x100cm;1999;6;
17;Le Couloir;80x99cm;2012;6;
18;Contente enfin;70x87cm;1999;6;
19;La Chambre 10 (le coin);80x101cm;2012;6;
20;Exercice d'émotions IV;50x33xm;2012;6;
21;Chez moi le Noël;50x33xm;2012;6;
22;Reflet de l'artiste aux médicaments;80x59cm;2012;6;
23;Le vélo volé du curé;80x102cm;1999;6;
24;Sous-bois;80x100cm;2011;6;
25;L'Automne, sur la route de Chalon;90x120cm;2011;6;
26;Les Oranges;80x100cm;1999;6;
27;Dans le brouillard;70x93cm / 90x120cm;2011;6 (3+3);
28;Nu aux bottes de randonnée;70x86cm / 90x110cm;2011;6 (3+3);
29;Exercice d'équilibre;70x93cm / 90x120cm;2011;6 (3+3);
30;Le Cerisier;50x64cm;2012;6;
31;Exercice d'émotions V, part 1;50x33cm;2012;6 (triptych);
32;Exercice d'émotions V, part 2;50x33cm;2012;6 (triptych);
33;Exercice d'émotions V, part 3;50x33;2012;6 (triptych);
34;La Saône 3;80x100cm;2012;6;
35;L'Étang;90x113cm;2012;6;
36;La Saône 1;70x88cm;2011;6;
37;La Saône 2;70x88cm;2011;6;
38;La Saône 5;90x113cm;2012;6;
39;La Saône 4;90x112cm;2012;6;
40;Chalon-sur-Saône 3;105x135cm / 80x102cm;1999;6 (3+3);
41;La Passerelle;80x100xm;2012;6;
42;Chalon-sur-Saône 6;105x135cm / 80x102cm;1999;6 (5+1);
43;Platanes;50x76cm;2012;6;
44;Le Temps perdu;70x93cm;2011;6;
45;Chalon-sur-Saône 7;70x90cm;1999;6;
46;Pleine lune;50x73cm;2012;6;
47;Au bord de la Saône;80x102cm;2011;6;
48;L'Automne, dans le Morvan;90x120cm;2011;6;
49;Le Brouillard;90x115cm;2011;6;
50;En novembre;90x117cm;2011;6;
51;Le Chemin;90x120cm;2011;6;
52;L'Arbre;80x99cm;2012;6;
53;Au bord;80x100cm;2012;6;
54;La Cure;80x100cm;2012;6;
55;Jardin de Niépce;80x100;2013;6;
56;Chemin des bois;80x100cm;2013;6;
57;Dans les prés;80x100cm;2013;6;
58;Tournus;80x100cm;2013;6
